# id	description_da_full	description_en	confidence
1012	Københavns Praktiserende Lægers Laboratorium, Bynkeambrosie IgE;Plasma	Copenhagen GP Laboratory (KPLL), ragweed (mugwort ambrosia) IgE;(plasma)	medium
4092	Kirurgi, Fjernelse negl, subsequent	Surgery, removal of nail, subsequent	high
1126	Københavns Praktiserende Lægers Laboratorium, Flecainid;Plasma	Copenhagen GP Laboratory (KPLL), flecainide;(plasma)	high
2005	Statens Seruminstitut, Dengue PCR	Statens Serum Institut, dengue PCR	high
1072	Københavns Praktiserende Lægers Laboratorium, Difteritoksin antistof;Plasma	Copenhagen GP Laboratory (KPLL), diphtheria toxin antibody;(plasma)	high
4098	Kirurgi, Gastroskopi, amt 20	Surgery, gastroscopy, (county 20)	high
926	Dermato-venerologi, venerologi 2. konsultation (county 80)	Dermato-venereology, venereology 2nd consultation (county 80)	high
381	Ørelægehjælp, Alaplastik	ENT service, alaplasty	medium
1116	Københavns Praktiserende Lægers Laboratorium, Faktor V Leiden	Copenhagen GP Laboratory (KPLL), factor V Leiden	high
1453	Københavns Praktiserende Lægers Laboratorium, Salmonella antistof;Plasma	Copenhagen GP Laboratory (KPLL), Salmonella antibody;(plasma)	high
1956	Statens Seruminstitut, Anti-Beta2 glykoprotein I (immunglobulin	Statens Serum Institut, anti-beta-2 glycoprotein I (immunoglobulin	medium
1941	Statens Serum Institut, Almindelig bakteriologisk undersøgelse (normal	Statens Serum Institut, ordinary bacteriological examination (normal	high
3177	Intern medicin, Sigmoideoskopi, amt 20	Internal medicine, sigmoidoscopy (county 20)	high
2604	Ortonyxi, Orthoser	Orthonyxia, orthoses	high
2404	Diagnostisk radiologi, skulderled og overarm følgende	Diagnostic radiology, shoulder joint and upper arm, subsequent	high
3012	Gynækologi/obstetrik, Marsupialisation	Gynaecology/obstetrics, marsupialisation	high
2363	Diagnostisk radiologi, Mammae	Diagnostic radiology, breasts	high
3775	Almen lægehjælp 80, test svangerskabsdiabetes, amt 35	General practitioner, gestational diabetes test (county 35)	high
2021	Statens Serum Institut, Ehrlichia antistof	Statens Serum Institut, Ehrlichia antibody	high
887	Dermato-venerologi, Smears	Dermato-venereology, smears	high
3701	Almen lægehjælp 80, Udekørende møde, telefonisk henvendelse § 2, amt 35	General practitioner, off-site meeting, telephone referral § 2 (county 35)	medium
1384	Københavns Praktiserende Lægers Laboratorium, Peak flow måling	Copenhagen GP Laboratory (KPLL), peak flow measurement	high
1537	Københavns Praktiserende Lægers Laboratorium, Varicella Zoster antistof	Copenhagen GP Laboratory (KPLL), varicella zoster antibody	high
323	Ortopædisk kirurgi, Operation Knyst, følgende, med anæstesi	Orthopaedic surgery, bunion operation, subsequent, with anaesthesia	high
3481	Almen lægehjælp 80, Hepatitis B-vaccination barn 12 måneder	General practitioner, hepatitis B vaccination, child 12 months	high
2007	Statens Serum Institut, Diarré hos immunkompromitteret	Statens Serum Institut, diarrhoea in immunocompromised	high
2101	Statens Serum Institut, Immunglobulin klasse	Statens Serum Institut, immunoglobulin class	high
952	Københavns Praktiserende Lægers Laboratorium, Aldosteron;P	Copenhagen GP Laboratory (KPLL), aldosterone;P	high
3352	Almen lægehjælp 80, Afstandstillæg 8-12 Km	General practitioner, distance supplement 8-12 km	high
3031	Gynækologi/obstetrik, Rektoskopi	Gynaecology/obstetrics, rectoscopy	high
2684	Reumatologi, E-mail konsultation	Rheumatology, e-mail consultation	high
3794	KFA-vagtordning 81, 1. Behandling Knoglebrud	KFA on-call service 81, 1st treatment of bone fracture	high
2743	Fysioterapi 61, Plejehjem 0 - 4 Km	Physiotherapy 61, nursing home 0 - 4 km	high
2105	Statens Serum Institut, Intrinsic faktor antistof	Statens Serum Institut, intrinsic factor antibody	high
1320	Københavns Praktiserende Lægers Laboratorium, Majs IgE;P	Copenhagen GP Laboratory (KPLL), maize IgE;P	high
2508	Fysioterapi 51, Normalbehandling lbp, amt 60	Physiotherapy, normal treatment lbp (county 60)	medium
4214	Kirurgi, arteria temporalis biopsi, 1., med anæstesi	Surgery, temporal artery biopsy, 1st, with anaesthesia	high
1716	Medicinsk Laboratorium, U-PORFYRIN TOTAL	Medical Laboratory, urine porphyrin total	high
3609	Almen lægehjælp 80, Paracentese - Trommehinde	General practitioner, paracentesis - eardrum	high
1719	Medicinsk Laboratorium, VANILLYLMANDELAT, urin/døgn	Medical Laboratory, vanillylmandelate, urine/24-hour	high
3476	Almen lægehjælp 80, Hepatitis B-vaccination barn 2 måneder	General practitioner, hepatitis B vaccination, child 2 months	high
1173	Københavns Praktiserende Lægers Laboratorium, HBsAg, konfirmation;P	Copenhagen GP Laboratory (KPLL), HBsAg, confirmation;P	high
563	Psykiatri, E-mail konsultation	Psychiatry, e-mail consultation	high
1591	Medicinsk Laboratorium, METHYLMALONAT OG HOMOCYSTEIN	Medical Laboratory, methylmalonate and homocysteine	high
2658	Fodbehandling arvævspatienter, Afstandstillæg pleje/pension +10km	Foot treatment, scar-tissue patients, distance supplement nursing home/pension +10km	medium
1443	Københavns Praktiserende Lægers Laboratorium, Rotte IgE;P	Copenhagen GP Laboratory (KPLL), rat IgE;P	high
1345	Københavns Praktiserende Lægers Laboratorium, Muskelantistof	Copenhagen GP Laboratory (KPLL), muscle antibody	high
2953	Gynækologi/obstetrik, B-Sedimentationsreaktion 2	Gynaecology/obstetrics, (blood) sedimentation reaction 2	high
3039	Gynækologi/obstetrik, Serum-progesteron 6	Gynaecology/obstetrics, serum progesterone 6	high
350	Ortopædisk kirurgi, Revision Sår 1., med anæstesi	Orthopaedic surgery, wound revision 1st, with anaesthesia	high
282	Ortopædisk kirurgi, Fjernelse Negl, følgende	Orthopaedic surgery, nail removal, subsequent	high
2268	Statens Serum Institut, Ureaplasma urealyticum	Statens Serum Institut, Ureaplasma urealyticum	high
1919	Statens Serum Institut, ANA titrering pakke	Statens Serum Institut, ANA titration package	high
1545	Københavns Praktiserende Lægers Laboratorium, Von Willebrand;P	Copenhagen GP Laboratory (KPLL), von Willebrand;P	high
3668	Almen lægehjælp 80, Terminalpleje, amt 35	General practitioner, terminal care (county 35)	high
1438	Københavns Praktiserende Lægers Laboratorium, Rhesus antistof uge 35	Copenhagen GP Laboratory (KPLL), rhesus antibody week 35	high
2164	Statens Serum Institut, Parietalcelle antistof	Statens Serum Institut, parietal cell antibody	high
514	Ørelægehjælp, Øreprop tilpasning, amt 50	ENT service, ear plug fitting (county 50)	high
2486	Fysioterapi 51, Holdbehandling, amt 65	Physiotherapy, group treatment (county 65)	high
2242	Statens Serum Institut, TSH-receptor antistof	Statens Serum Institut, TSH-receptor antibody	high
4091	Kirurgi, Fjernelse Negl 1.	Surgery, nail removal 1st	high
242	Øjenlægehjælp, ukendt	Ophthalmology service, unknown	high
2669	Fodbehandling arvævspatienter, Orthoser	Foot treatment, scar-tissue patients, orthoses	high
3742	Almen lægehjælp 80, assistance	General practitioner, assistance	high
2119	Statens Serum Institut, Lever-nyre mikrosom	Statens Serum Institut, liver-kidney microsome	high
2670	Fodbehandling arvævspatienter, Orthoser silicone	Foot treatment, scar-tissue patients, silicone orthoses	high
2198	Statens Serum Institut, Rhinovirus PCR	Statens Serum Institut, rhinovirus PCR	high
1972	Statens Serum Institut, C1-inhibitorfunktion	Statens Serum Institut, C1-inhibitor function	high
1358	Københavns Praktiserende Lægers Laboratorium, Nortriptylin;P	Copenhagen GP Laboratory (KPLL), nortriptyline;P	high
1962	Statens Serum Institut, Aspergillus antistof	Statens Serum Institut, Aspergillus antibody	high
2984	Gynækologi/obstetrik, Fjernelse Svulst 1., med anæstesi	Gynaecology/obstetrics, tumour removal 1st, with anaesthesia	high
3477	Almen lægehjælp 80, Hepatitis B-vaccination, bopæl og sekundær	General practitioner, hepatitis B vaccination, residence and secondary	low
1039	Københavns Praktiserende Lægers Laboratorium, Chlamydia pneumoniae antistof	Copenhagen GP Laboratory (KPLL), Chlamydia pneumoniae antibody	high
1386	Københavns Praktiserende Lægers Laboratorium, Peberfrugt IgE;P	Copenhagen GP Laboratory (KPLL), bell pepper IgE;P	high
1455	Københavns Praktiserende Lægers Laboratorium, Selen;P	Copenhagen GP Laboratory (KPLL), selenium;P	high
1709	Medicinsk Laboratorium, TSH-RECEPTOR-Ab/THYReoidea	Medical Laboratory, TSH-receptor antibody/thyroid	high
1933	Statens Serum Institut, Adenovirus, DNA (PCR	Statens Serum Institut, adenovirus, DNA (PCR	high
4177	Kirurgi, Revision Sår 1.	Surgery, wound revision 1st	high
2869	Psykologhjælp, Gruppekonsultation 4 personer 1. konsultation	Psychology service, group consultation 4 persons, 1st consultation	high
2801	Vederlagsfri fysioterapi, Hold 7 personer, amt 51 62	Free-of-charge physiotherapy, group 7 persons (county) 51 62	medium
3746	Almen lægehjælp 80, besøg i hjemmet	General practitioner, home visit	high
3653	Almen lægehjælp 80, Supervision	General practitioner, supervision	high
1930	Statens Serum Institut, Adenovirus DNA (PCR	Statens Serum Institut, adenovirus DNA (PCR	high
2172	Statens Serum Institut, Pneumokok antigen	Statens Serum Institut, pneumococcal antigen	high
934	Københavns Praktiserende Lægers Laboratorium, ACTH;P	Copenhagen GP Laboratory (KPLL), ACTH;P (plasma)	high
2178	Statens Seruminstitut, Polymyositis (USA prøve)	Statens Serum Institut, polymyositis (USA sample)	medium
3347	Almen lægehjælp 80, Afstandstillæg 12-16 km	General practitioner, distance supplement 12-16 km	high
348	Ortopædisk kirurgi, Revision af sår, 1. gang	Orthopaedic surgery, wound revision, 1st	high
989	Københavns Praktiserende Lægers Laboratorium, Bicarbonat, standard; kapillærblod	Copenhagen GP Laboratory (KPLL), bicarbonate, standard; capillary blood	high
1620	Medicinsk Laboratorium, S(fPt)-ZINK 4	Medical Laboratory, S(fPt)-zinc 4	medium
1190	Københavns Praktiserende Lægers Laboratorium, HR-test Inhalation; blod	Copenhagen GP Laboratory (KPLL), HR test, inhalation; (blood)	medium
1184	Københavns Praktiserende Lægers Laboratorium, HR-test, Urticaria; blod	Copenhagen GP Laboratory (KPLL), HR test, urticaria; (blood)	medium
1985	Statens Seruminstitut, Cardiolipin i pakke	Statens Serum Institut, cardiolipin in package	high
3667	Almen lægehjælp 80, Terminal første kontakt	General practitioner, terminal first contact	medium
501	Ørelægehjælp, Udredning CPAP, amt 65	ENT service, CPAP assessment, (county 65)	medium
1117	Københavns Praktiserende Lægers Laboratorium, Fenobarbital; Plasma	Copenhagen GP Laboratory (KPLL), phenobarbital; (plasma)	high
2000	Statens Seruminstitut, Cytomegalvirus (CMV)	Statens Serum Institut, cytomegalovirus (CMV)	high
393	Ørelægehjælp, CPAP, Vejle amt	ENT service, CPAP, Vejle county	high
1705	Medicinsk Laboratorium, THYREOGLOBULIN	Medical Laboratory, thyroglobulin	high
2182	Statens Seruminstitut, Prostataspecifikt antigen	Statens Serum Institut, prostate-specific antigen	high
4018	KFA-vagtordning 89, 1. Behandling, knoglebrud	KFA on-call service 89, 1st treatment, bone fracture	high
1693	Medicinsk Laboratorium, S-Thyreoglobulin antistof	Medical Laboratory, S-thyroglobulin antibody	high
3086	Gynækologi/obstetrik, følgende labiumresektion	Gynaecology/obstetrics, subsequent labium resection	high
2185	Statens Seruminstitut, Rabies antistoffer	Statens Serum Institut, rabies antibodies	high
2570	Fodterapi, Indlæg type 3, enkelt	Podiatry, insole type 3, single	high
3360	Almen lægehjælp 80, Akutte tilfælde, EF	General practitioner, acute cases, EF	medium
1996	Statens Seruminstitut, Coxiella burnetii antistof	Statens Serum Institut, Coxiella burnetii antibody	high
3087	Gynækologi/obstetrik, følgende fentonplastik	Gynaecology/obstetrics, subsequent Fenton plasty	high
1414	Københavns Praktiserende Lægers Laboratorium, Protein S, Antigen frit; Plasma	Copenhagen GP Laboratory (KPLL), protein S, antigen free; (plasma)	high
3730	Almen lægehjælp 80, Vandrejournal §2-aftale	General practitioner, antenatal record (pregnancy journal) (§2 agreement)	medium
1667	Medicinsk Laboratorium, S-Intrinsic factor antistof	Medical Laboratory, S-intrinsic factor antibody	high
2338	Diagnostisk radiologi, Hals	Diagnostic radiology, neck	high
928	Dermato-venerologi, venerologisk telefonkonsultation, a80	Dermato-venereology, venereological telephone consultation, a80	medium
4058	Kirurgi, Arteria temporalis biopsi	Surgery, temporal artery biopsy	high
1950	Statens Seruminstitut, Analysesvar fra Laboratorium	Statens Serum Institut, analysis result from laboratory	high
1016	Københavns Praktiserende Lægers Laboratorium, C1-esterase inhibitor; Plasma	Copenhagen GP Laboratory (KPLL), C1-esterase inhibitor; (plasma)	high
4107	Kirurgi, Incision af absces, 1., med anæstesi	Surgery, abscess incision, 1st, with anaesthesia	high
4000	Præhospital, Besøg på ruten	Pre-hospital, visit on the route	high
902	Dermato-venerologi, Urinprøvetagning, steril, 4	Dermato-venereology, urine sampling, sterile, 4	high
1529	Københavns Praktiserende Lægers Laboratorium, Undulat IgE; Plasma	Copenhagen GP Laboratory (KPLL), budgerigar IgE; (plasma)	high
3144	Intern medicin, Koloskopi, amt 20	Internal medicine, colonoscopy, (county 20)	high
3140	Intern medicin, Holter, manuel analyse	Internal medicine, Holter monitoring, manual analysis	medium
2797	Vederlagsfri fysioterapi, Hold 5 personer, amt 51 62	Free-of-charge physiotherapy, group of 5, (counties 51 62)	high
480	Ørelægehjælp, Sinoskopi, med anæstesi	ENT service, sinoscopy, with anaesthesia	high
3988	Præhospital, 1. Behandling, knoglebrud	Pre-hospital, 1st treatment, bone fracture	high
3938	Vagtlægehjælp 83, Paracentese - Trommehinde	On-call GP service 83, paracentesis - eardrum	high
1918	Statens Seruminstitut, ANA titrering i pakke	Statens Serum Institut, ANA titration in package	high
2334	Diagnostisk radiologi, Funktionsundersøgelse rygsøjle, if	Diagnostic radiology, functional examination of the spine, if	medium
1342	Københavns Praktiserende Lægers Laboratorium, Morbilli antistof	Copenhagen GP Laboratory (KPLL), measles (morbilli) antibody	high
3316	Almen lægehjælp 80, 2 moduler	General practitioner, 2 modules	high
3005	Gynækologi/obstetrik, Kontrol cystoskopi	Gynaecology/obstetrics, follow-up cystoscopy	high
960	Københavns Praktiserende Lægers Laboratorium, Amitriptylin; Plasma	Copenhagen GP Laboratory (KPLL), amitriptyline; (plasma)	high
1048	Københavns Praktiserende Lægers Laboratorium, Clomipramin; Plasma	Copenhagen GP Laboratory (KPLL), clomipramine; (plasma)	high
3170	Intern medicin, S-Bilirubiner 5	Internal medicine, S-bilirubins 5	high
1046	Københavns Praktiserende Lægers Laboratorium, Cladosporium cladosporioides IgE; Plasma	Copenhagen GP Laboratory (KPLL), Cladosporium cladosporioides IgE; (plasma)	high
3356	Almen lægehjælp 80, Afstandstakst pr. km	General practitioner, distance rate per km	high
1675	Medicinsk Laboratorium, S-MYOGLOBIN	Medical Laboratory, S-myoglobin	high
3568	Almen lægehjælp 80, Motion på recept, a20	General practitioner, exercise on prescription, a20	medium
2945	Gynækologi/obstetrik, 3. konsultation, udvidet	Gynaecology/obstetrics, 3rd consultation, extended	high
920	Dermato-venerologi, laserbehandling, røde modermærker	Dermato-venereology, laser treatment, red birthmarks	high
3722	Almen lægehjælp 80, Vaccination efter arbejdsuheld	General practitioner, vaccination after work accident	medium
2243	Statens Seruminstitut, Taenia antistof (Cysticercose)	Statens Serum Institut, Taenia antibody (cysticercosis)	high
3740	Almen lægehjælp 80, afstandstakst over 10 km	General practitioner, distance rate over 10 km	high
2003	Statens Seruminstitut, Dehydroepiandrosteron	Statens Serum Institut, dehydroepiandrosterone	high
2589	Ortonyxi, Afstandstillæg over 10 km	Orthonyxia, distance supplement over 10 km	high
2143	Statens Seruminstitut, Mycoplasma hominis	Statens Serum Institut, Mycoplasma hominis	high
3949	Vagtlægehjælp 83, Særlig konsultation, vagt, a42	On-call GP service 83, special on-call consultation, a42	medium
1037	Københavns Praktiserende Lægers Laboratorium, Chaetomium globosum IgE; Plasma	Copenhagen GP Laboratory (KPLL), Chaetomium globosum IgE; (plasma)	high
1541	Københavns Praktiserende Lægers Laboratorium, Vitamin A; Plasma	Copenhagen GP Laboratory (KPLL), vitamin A; (plasma)	high
2193	Statens Seruminstitut, Respirationsvejs PCR	Statens Serum Institut, respiratory tract PCR	medium
2605	Ortonyxi, Ortheser silicone	Orthonyxia, silicone orthoses	high
2158	Statens Seruminstitut, Parasitter fra immunsupprimeret	Statens Serum Institut, parasites from immunosuppressed	medium
4026	KFA-vagtordning 89, Fjernelse af svulster	KFA on-call service 89, removal of tumours	high
